;time;grid;healthy;dead;infected;berries
0;0;00;29.700934579439252;0.0;0.004672897196261682;0.0
1;0;01;29.912060301507537;0.0;0.005025125628140704;0.0
2;0;10;30.18653846153846;0.0;0.0;0.0
3;0;11;30.462921348314605;0.0;0.0044943820224719105;0.0
4;1;00;29.700934579439252;0.0;0.004672897196261682;0.02570093457943925
5;1;01;29.912060301507537;0.0;0.005025125628140704;0.04020100502512563
6;1;10;30.18653846153846;0.0;0.0;0.023076923076923078
7;1;11;30.462921348314605;0.0;0.0044943820224719105;0.033707865168539325
8;2;00;30.135514018691588;0.0;0.004672897196261682;0.6425233644859814
9;2;01;30.389447236180903;0.0;0.005025125628140704;0.6407035175879398
10;2;10;30.665384615384614;0.0;0.0;0.6442307692307693
11;2;11;30.95505617977528;0.0;0.0044943820224719105;0.6606741573033708
12;3;00;30.502336448598133;0.0;0.004672897196261682;0.985981308411215
13;3;01;30.723618090452263;0.0;0.005025125628140704;1.015075376884422
14;3;10;31.028846153846153;0.0;0.0;0.9980769230769231
15;3;11;31.292134831460675;0.0;0.0044943820224719105;1.006741573033708
16;4;00;30.89252336448598;0.0;0.004672897196261682;1.3878504672897196
17;4;01;31.105527638190956;0.0;0.005025125628140704;1.4170854271356783
18;4;10;31.373076923076923;0.0;0.0;1.426923076923077
19;4;11;31.67191011235955;0.0;0.0044943820224719105;1.442696629213483
20;5;00;31.156542056074766;0.0;0.004672897196261682;1.7032710280373833
21;5;01;31.402010050251256;0.0;0.005025125628140704;1.7110552763819096
22;5;10;31.68076923076923;0.0;0.0;1.7096153846153845
23;5;11;31.964044943820223;0.0;0.0044943820224719105;1.7393258426966292
24;6;00;31.44392523364486;0.0;0.004672897196261682;2.128504672897196
25;6;01;31.670854271356784;0.0;0.005025125628140704;2.1608040201005023
26;6;10;31.928846153846155;0.0;0.0;2.1942307692307694
27;6;11;32.24943820224719;0.0;0.0044943820224719105;2.191011235955056
